code,name,industry
000004,*ST国华,计算机
000020,深华发A,电子
000021,深科技,电子
000034,神州数码,计算机
000045,深纺织A,电子
000050,深天马A,电子
000062,深圳华强,电子
000063,中兴通讯,通信
000066,中国长城,计算机
000070,特发信息,通信
000100,TCL科技,电子
000158,常山北明,计算机
000409,云鼎科技,计算机
000503,国新健康,计算机
000509,华塑控股,电子
000536,华映科技,电子
000555,神州信息,计算机
000586,汇源通信,通信
000636,风华高科,电子
000670,盈方微,电子
000725,京东方A,电子
000727,冠捷科技,电子
000815,美利云,计算机
000823,超声电子,电子
000839,国安股份,通信
000889,中嘉博创,通信
000938,紫光股份,计算机
000948,南天信息,计算机
000977,浪潮信息,计算机
000997,新大陆,计算机
001229,魅视科技,计算机
001287,中电港,电子
001298,好上好,电子
001308,康冠科技,电子
001309,德明利,电子
001314,亿道信息,电子
001339,智微智能,计算机
001373,翔腾新材,电子
001389,广合科技,电子
002017,东信和平,通信
002036,联创电子,电子
002045,国光电器,电子
002049,紫光国微,电子
002055,ST得润,电子
002063,远光软件,计算机
002065,东华软件,计算机
002077,大港股份,电子
002104,恒宝股份,通信
002106,莱宝高科,电子
002115,三维通信,通信
002119,康强电子,电子
002123,梦网科技,通信
002130,沃尔核材,电子
002134,天津普林,电子
002137,实益达,电子
002138,顺络电子,电子
002139,拓邦股份,电子
002148,北纬科技,通信
002152,广电运通,计算机
002153,石基信息,计算机
002156,通富微电,电子
002161,远望谷,电子
002177,御银股份,计算机
002178,延华智能,计算机
002180,奔图科技,计算机
002185,华天科技,电子
002194,武汉凡谷,通信
002195,岩山科技,计算机
002197,证通电子,计算机
002199,*ST东晶,电子
002212,天融信,计算机
002213,大为股份,电子
002217,合力泰,电子
002222,福晶科技,电子
002230,科大讯飞,计算机
002232,启明信息,计算机
002236,大华股份,计算机
002241,歌尔股份,电子
002253,*ST智胜,计算机
002261,拓维信息,计算机
002268,电科网安,计算机
002273,水晶光电,电子
002279,久其软件,计算机
002281,光迅科技,通信
002289,*ST宇顺,电子
002296,辉煌科技,通信
002298,中电鑫龙,计算机
002313,日海智能,通信
002322,理工能科,计算机
002331,皖通科技,计算机
002351,漫步者,电子
002362,汉王科技,计算机
002368,太极股份,计算机
002369,卓翼科技,电子
002371,北方华创,电子
002373,千方科技,计算机
002376,新北洋,计算机
002380,科远智慧,计算机
002384,东山精密,电子
002387,维信诺,电子
002388,新亚制程,电子
002396,星网锐捷,通信
002401,中远海科,计算机
002402,和而泰,电子
002405,四维图新,计算机
002409,雅克科技,电子
002410,广联达,计算机
002415,海康威视,计算机
002421,达实智能,计算机
002426,胜利精密,电子
002436,兴森科技,电子
002439,启明星辰,计算机
002449,国星光电,电子
002456,欧菲光,电子
002463,沪电股份,电子
002467,二六三,通信
002474,榕基软件,计算机
002475,立讯精密,电子
002484,江海股份,电子
002491,通鼎互联,通信
